Fecha,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C25,P03,P05,P08,P09,P10,P11,P12,P13,P14,P16,P17,P18,P19,P21,P22,P23,P24,P27,P28,P29,P30,P31,P32,P33,P34,P35,P37,P38,P39,P40,P41,P42,P43,P45,P46,P52,P53,P54,P55,P56,P57,P59,P61,P62,P63,P64,P65,P66,P67,P68,P70,P71,P72,P73,P74,P75,P76,P77,ATP01PT01,ATP01PT02,ATP02PT01,CAR02PT01,DQS01PT01,JTU01PT11,JTU01PT22,JTU01PT32,JTU01PT42,JTU01PT53,JTU01PT63,JTU01PT73,JTU01PT83,M5006F,M5021,M5022,M5023,M5024,M5025,M5026,M5027,M5028,M5029,M5030,M5031,M5074,M5075,M5076,M5077,M5078,M5124,M5126,M5178,M5179,M5180,M5181,M5182F,M5183F,M5184F,M5185F,JTUPULLPT1,M5262
2003-07-16,2.16,,0.00,0.00,,,,0.00,0.00,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,7.44,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-17,8.16,,0.00,0.00,,,,0.00,4.40,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,8.16,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-18,3.60,,0.00,0.00,0.00,,,0.00,1.30,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,4.32,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-19,0.96,,0.00,0.00,0.00,,,0.00,0.70,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.96,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-20,0.72,,0.00,0.40,0.00,,,0.00,0.50,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,2.64,2.40,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-21,0.48,,0.00,0.00,0.00,,,0.00,0.10,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.24,0.00,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-22,2.64,,0.00,0.00,0.00,,,0.00,0.80,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,3.36,0.00,0.24,5.76,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-23,2.64,,0.00,0.00,0.20,,,0.00,0.20,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,,1.20,0.00,0.00,0.00,1.68,2.16,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-24,1.68,,0.00,0.00,0.00,,,0.00,0.30,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.72,4.80,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-25,5.76,,0.00,2.90,0.00,,,0.00,2.20,,,,,,,,,,0.20,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.70,,,,0.00,0.00,0.40,0.00,0.00,0.72,12.96,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-26,7.68,,0.00,0.40,0.00,,,0.00,4.10,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,0.00,0.00,0.20,0.48,0.00,0.00,7.68,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-27,0.00,,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,2.88,0.00,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-28,2.40,,0.00,0.00,0.00,,,0.00,0.20,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,0.00,0.00,0.80,0.00,0.72,1.44,0.00,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-29,0.48,,0.20,0.00,0.00,,,0.00,0.70,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.10,0.10,,,,0.00,0.24,0.80,0.24,0.72,0.96,1.92,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-30,18.96,,0.50,3.70,0.00,,,0.60,13.70,,,,,,,,,,0.50,,,,,,,,3.70,,0.60,,0.20,0.10,,,,,0.00,0.50,,,,2.16,2.64,3.20,1.92,3.12,3.84,23.76,27.60,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-31,10.32,,0.00,0.20,0.00,,,0.00,11.60,,,,,,,,,,0.10,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,0.00,0.00,0.40,0.48,0.00,0.00,19.20,14.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-01,0.00,,0.00,0.10,0.00,,,2.10,0.00,,,,,,,,,,18.50,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.40,,,,0.00,0.00,0.60,0.72,0.00,2.64,0.00,0.24,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-02,0.00,,0.00,0.00,0.00,,,0.20,0.00,,,,,,,,,,2.60,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.40,,,,0.00,0.00,0.80,0.00,0.00,1.68,1.20,0.00,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-03,1.20,,0.00,0.00,0.10,,,0.00,0.10,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,0.00,0.00,0.60,0.00,0.00,1.20,1.92,1.20,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-04,0.96,,0.00,0.00,0.00,,,0.00,0.10,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.00,,,,0.00,0.00,0.20,0.00,0.00,0.24,0.48,0.24,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-05,2.88,,0.00,0.00,0.00,,,0.00,0.10,,,,,,,,,,0.00,,,,,,,,0.00,,0.00,,0.00,0.00,,,,,0.00,0.90,,,,0.00,0.00,0.40,0.00,0.00,0.48,2.16,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
